,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Candidatus Pantoea carbekii,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pantoea agglomerans,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Erwinia billingiae,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Erwinia gerundensis,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Erwinia tasmaniensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed
Erwinia amylovora,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Erwinia sp. Ejp617,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Erwinia pyrifoliae,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Candidatus Erwinia sp. ErCipseudotaxifoliae,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Tatumella citrea,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Buchnera aphidicola,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed
Dickeya zeae,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed
Dickeya solani,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Dickeya dadantii,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
