,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Prauserella marina,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Saccharomonospora viridis,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Mostly Observed
Geodermatophilus obscurus,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Modestobacter marinus,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Blastococcus saxobsidens,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Actinoplanes missouriensis,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Actinoplanes sp. N902-109,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Actinoplanes friuliensis,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Verrucosispora maris,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Micromonospora aurantiaca,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Micromonospora sp. L5,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Salinispora tropica,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Salinispora arenicola,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Plantactinospora sp. KBS50,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Actinomyces sp. oral taxon 414,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Always Observed
Actinomyces radicidentis,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Actinomyces oris,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Always Observed
Actinomyces meyeri,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Actinomyces sp. Chiba101,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Actinomyces gaoshouyii,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Actinomyces pacaensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Actinomyces sp. VUL4_3,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Trueperella pyogenes,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Mobiluncus curtisii,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Actinotignum schaalii,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Arcanobacterium haemolyticum,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Bifidobacterium adolescentis,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Rarely Observed,Mostly Observed,Mostly Observed
Bifidobacterium bifidum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bifidobacterium choerinum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Bifidobacterium longum,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Bifidobacterium pseudolongum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Mostly Observed
Bifidobacterium scardovii,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Bifidobacterium pseudocatenulatum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Bifidobacterium thermophilum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Bifidobacterium catenulatum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed
Bifidobacterium angulatum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Mostly Observed
Bifidobacterium kashiwanohense,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Bifidobacterium asteroides,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Mostly Observed
Bifidobacterium dentium,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Bifidobacterium animalis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Bifidobacterium breve,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Bifidobacterium actinocoloniiforme,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Bifidobacterium indicum,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Bifidobacterium coryneforme,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Gardnerella vaginalis,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Parascardovia denticolens,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Scardovia inopinata,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Streptosporangium roseum,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Nonomuraea sp. ATCC 55076,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Nocardiopsis alba,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Mostly Observed
Nocardiopsis dassonvillei,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Nocardiopsis gilva,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Thermobifida fusca,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Mostly Observed
Thermomonospora curvata,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Frankia inefficax,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Frankia alni,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Frankia sp. EAN1pec,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Frankia symbiont of Datisca glomerata,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Frankia casuarinae,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Thermobispora bispora,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Nakamurella multipartita,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Kineococcus radiotolerans,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Catenulispora acidiphila,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Stackebrandtia nassauensis,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Actinopolyspora erythraea,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Acidothermus cellulolyticus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Candidatus Planktophila vernalis,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Planktophila dulcis,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Candidatus Planktophila lacus,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Planktophila limnetica,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Planktophila sulfonica,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Planktophila versatilis,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Candidatus Nanopelagicus limnes,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Nanopelagicus abundans,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Nanopelagicus hibericus,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Actinobacteria bacterium IMCC26256,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Gordonibacter urolithinfaciens,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Gordonibacter massiliensis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Phoenicibacter massiliensis,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Eggerthella lenta,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Eggerthella sp. YY7918,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Adlercreutzia equolifaciens,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Slackia heliotrinireducens,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Denitrobacterium detoxificans,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Cryptobacterium curtum,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Olsenella sp. Marseille-P2300,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Olsenella uli,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Olsenella sp. oral taxon 807,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Atopobium parvulum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Collinsella aerofaciens,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Coriobacterium glomerans,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Coriobacteriaceae bacterium 68-1-3,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Conexibacter woesei,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Rubrobacter xylanophilus,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Rubrobacter radiotolerans,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Mostly Observed
Ilumatobacter coccineus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Acidimicrobium ferrooxidans,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Actinobacteria bacterium IMCC26077,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Actinobacteria bacterium IMCC19121,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Actinobacteria bacterium IMCC25003,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Synechococcus sp. JA-3-3Ab,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. SynAce01,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus lividus,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. RCC307,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. WH 8109,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. KORDI-52,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. KORDI-49,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. CC9605,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. CC9311,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. PCC 7502,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. PCC 6312,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. PCC 7003,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. JA-2-3B'a(2-13),Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. NIES-970,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. KORDI-100,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed
Synechococcus sp. WH 7803,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. WH 8102,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. WH 8103,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Rarely Observed
Synechococcus sp. CC9902,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Synechococcus sp. PCC 7117,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechococcus sp. UTEX 2973,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Cyanobium sp. NIES-981,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Cyanobium gracile,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Dactylococcopsis salina,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Thermosynechococcus elongatus,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Leptolyngbya sp. NIES-3755,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Leptolyngbya boryana,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Leptolyngbya sp. O-77,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Leptolyngbya sp. PCC 7376,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Halomicronema hongdechloris,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Prochlorococcus marinus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Prochlorococcus sp. MIT 0604,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Synechocystis sp. PCC 6803,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Synechocystis sp. PCC 6714,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudanabaena sp. PCC 7367,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Acaryochloris marina,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Nostoc punctiforme,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Nostoc flagelliforme,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Nostoc sp. NIES-3756,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Nostoc sp. PCC 7107,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Nostoc sp. PCC 7524,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Nostoc sp. CENA543,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Nostoc sp. PCC 7120,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Anabaena sp. 90,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Anabaena cylindrica,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Anabaena sp. WA102,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Trichormus variabilis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Trichormus azollae,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Calothrix sp. NIES-4071,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Calothrix sp. NIES-2098,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Calothrix sp. PCC 7507,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Calothrix parietina,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Calothrix sp. NIES-4101,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Calothrix sp. 336/3,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Calothrix sp. NIES-3974,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Rivularia sp. PCC 7116,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Nostocales cyanobacterium HT-58-2,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Fischerella sp. NIES-3754,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Gloeocapsa sp. PCC 7428,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Chondrocystis sp. NIES-4102,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Fairly Observed,Fairly Observed
Geminocystis sp. NIES-3709,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Geminocystis sp. NIES-3708,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Microcystis aeruginosa,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Halothece sp. PCC 7418,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Atelocyanobacterium thalassa,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cyanobacterium aponinum,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Oscillatoria nigro-viridis,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Oscillatoria acuminata,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Fairly Observed
Moorea producens,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Cyanothece sp. PCC 7424,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cyanothece sp. PCC 7822,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cyanothece sp. ATCC 51142,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cyanothece sp. PCC 7425,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cyanothece sp. PCC 8801,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Cyanothece sp. PCC 8802,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Crinalium epipsammum,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Microcoleus sp. PCC 7113,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Trichodesmium erythraeum,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Geitlerinema sp. PCC 7407,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Fairly Observed,Rarely Observed
Chroococcidiopsis thermalis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Gloeobacter kilaueensis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Gloeobacter violaceus,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Never Observed
Stanieria sp. NIES-3757,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Stanieria cyanosphaera,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Pleurocapsa minor,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
cyanobacterium endosymbiont of Epithemia turgida,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Spiroplasma eriocheiris,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Spiroplasma citri,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma apis,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Spiroplasma kunkelii,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma monobiae,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Spiroplasma floricola,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma diminutum,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma cantharicola,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma culicicola,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma taiwanense,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma helicoides,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Spiroplasma turonicum,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Mesoplasma syrphidae,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Entomoplasma somnilux,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Acholeplasma brassicae,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Acholeplasma oculi,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Acholeplasma laidlawii,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Acholeplasma palmae,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Aster yellows witches'-broom phytoplasma,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Mycoplasma cynos,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Mycoplasma hyopneumoniae,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Mycoplasma hominis,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Mycoplasma canis,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
